品类,型号,常规仓,顺丰仓,京仓,云仓,统仓,金融仓,合计数量
冰箱冷柜,冰箱压机十年延保卡,0.0,0.0,0,0,0,0,0.0
冰箱冷柜,冰箱整机十年延保卡,0.0,0.0,0,0,0,0,0.0
冰箱冷柜,卡萨帝386冰箱收纳套餐,0.0,0.0,0,0,0,0,0.0
冰箱冷柜,卡萨帝520冰箱收纳套餐,0.0,0.0,0,0,0,0,0.0
冰箱冷柜,海尔兄弟NFC冰箱贴,0.0,0.0,0,0,0,0,0.0
厨电,厨电安装卡,0.0,0.0,0,0,0,0,0.0
厨电,油烟机装饰罩,0.0,0.0,0,0,0,0,0.0
商用空调,HYR-E60AC(D)商用,1.0,0.0,0,0,0,0,1.0
商用空调,HYR-E60AC(商用),0.0,0.0,0,0,0,0,0.0
商用空调,HYR-E70H(商用),0.0,0.0,0,0,0,0,0.0
商用空调,HYR-H10(商用),0.0,0.0,0,0,0,0,0.0
商用空调,HYR-H10(商用7档风速),0.0,0.0,0,0,0,0,0.0
商用空调,REJ-02(商用),0.0,0.0,0,0,0,0,0.0
商用空调,中央空调10年延保卡,0.0,0.0,0,0,0,0,0.0
商用空调,商用运费,1.0,0.0,0,0,0,0,1.0
家用空调,统帅家用空调内销NFC贴白,0.0,0.0,0,0,0,0,0.0
洗碗机,卡萨帝洗碗机单抽洗碗机博卡灰玻璃门体,0.0,0.0,0,0,0,0,0.0
洗碗机,卡萨帝洗碗机双抽洗碗机曜石黑玻璃门体,0.0,0.0,0,0,0,0,0.0
洗碗机,双抽洗碗机光年白玻璃门体,0.0,0.0,0,0,0,0,0.0
洗碗机,大型洗碗机专用多效合一洗涤块99g(6块),0.0,0.0,0,0,0,0,0.0
洗碗机,抽屉洗碗机光年白门体,0.0,0.0,0,0,0,0,0.0
洗碗机,抽屉洗碗机锡兰青玻璃门体,0.0,0.0,0,0,0,0,0.0
洗碗机,抽屉洗碗机黑色玻璃门体,0.0,0.0,0,0,0,0,0.0
洗碗机,洗碗机6年延保卡,0.0,0.0,0,0,0,0,0.0
洗碗机,洗碗机整机六年延保卡(电商赠品),0.0,0.0,0,0,0,0,0.0
洗碗机,洗碗机洗涤凝珠,0.0,0.0,0,0,0,0,0.0
洗碗机,电商赠品洗碗机专用盐,0.0,0.0,0,0,0,0,0.0
洗碗机,碧瀑洗碗机专用凝珠多效合一28+2,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机专用桶洗剂,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机十年服务尊享卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机安装卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机延保卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机支架,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机整机十年卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机整机十年延保卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机智能升降底座,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机核心部件十年保,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机电机十年延保卡,0.0,0.0,0,0,0,0,0.0
洗衣机,洗衣机零嵌工装,0.0,0.0,0,0,0,0,0.0
洗衣机,海尔波轮洗衣机罩,0.0,0.0,0,0,0,0,0.0
洗衣机,海尔洗衣机桶洗剂,0.0,0.0,0,0,0,0,0.0
洗衣机,海尔滚筒洗衣机罩,0.0,0.0,0,0,0,0,0.0
洗衣机,纤见洗衣机槽清洁套装,5.0,0.0,0,0,0,0,5.0
洗衣机,纤醒原装洗衣机槽清洁护理液,36.0,0.0,0,0,0,0,36.0
热水器,冷凝式燃气采暖热水炉给排气烟管,3.0,0.0,0,0,0,0,3.0
热水器,快热式热水器LDSC-55C1,1.0,0.0,0,0,0,0,1.0
热水器,海尔燃气热水器采暖炉标准排烟管采暖炉系列,6.0,0.0,0,0,0,0,6.0
热水器,热水器八年延保卡,0.0,0.0,0,0,0,0,0.0
热水器,热水器安装卡,0.0,0.0,0,0,0,0,0.0
热水器,特美刻梦幻电热水壶(1.7L),0.0,0.0,0,0,0,0,0.0
热水器,电热水壶HKT-K5M17W,2.0,0.0,0,0,0,0,2.0
热水器,电热水壶HKT-TK1S1712,0.0,0.0,0,0,0,0,0.0
热水器,电热水瓶,0.0,0.0,0,0,0,0,0.0
热水器,空气能热水器整机延保卡,0.0,0.0,0,0,0,0,0.0
热水器,长虹热水壶,0.0,0.0,0,0,0,0,0.0
